index,sname,pname,price
이마트몰/과일
1,이마트몰,[칠레산] 레몬 9~15입/봉 (1.4kg 내외),"8,980"
2,이마트몰,건망고 슬라이스 250g,"7,900"
3,이마트몰,바나나칩 500g,"5,586"
4,이마트몰,대추야자 350g,"7,980"
5,이마트몰,[뉴질랜드산] 제스프리 썬골드키위 7~14입/팩 (1.1kg내외),"12,800"
6,이마트몰,7D 건망고 80g,"4,180"
7,이마트몰,가을애(愛)감귤 1.8kg/박스,"11,900"
8,이마트몰,홍시 4~6입/팩 (750g내외),"4,280"
9,이마트몰,[필리핀산] Dole 스위티오 바나나 1.3kg내외,"4,980"
10,이마트몰,샤인머스캣 500g/팩,"7,980"
11,이마트몰,[콜롬비아산] 썬팜 골드 바나나 1송이 (1.1kg내외),"2,980"
12,이마트몰,샤인머스캣 1.5kg/박스 (2~3송이),"19,500"
13,이마트몰,더달콤 스테비아 토마토 550g/팩,"8,900"
14,이마트몰,사과대추 500g/팩,"6,900"
15,이마트몰,[삼양사] 건크랜베리 150g,"3,980"
16,이마트몰,[필리핀산] 신세계푸드 스카이 고산지 바나나 1kg내외,"3,980"
17,이마트몰,[피코크] 망고 그대로 10g,"2,480"
18,이마트몰,완숙토마토 6~8입/팩 (1.2kg),"8,900"
19,이마트몰,몽모라시 건타트체리 200g,"8,980"
20,이마트몰,새콤아삭 컬러마토 750g/팩,"6,900"
21,이마트몰,강원 맑은청 방울토마토 750g/팩,"5,900"
22,이마트몰,대추방울토마토 750g/팩,"6,900"
23,이마트몰,[뉴질랜드산] 제스프리 그린키위/팩 (1kg내외),"7,980"
24,이마트몰,저탄소인증 햇사과 1kg이상/봉,"4,980"
25,이마트몰,[국산의 힘] 무지개 방울토마토 900g/팩,"8,900"
26,이마트몰,[삼양사] 건포도 150g,"3,280"
27,이마트몰,머루포도 3kg/박스 (4~7입),"17,900"
28,이마트몰,단감 4~8입/봉 (1kg내외),"5,280"
29,이마트몰,[피코크] 유기농 딸기 그대로 15g,"3,980"
30,이마트몰,샤인머스캣 1.5kg/박스 (2~3송이),"19,500"
 
컬리/과일
1,마켓컬리,GAP 신고배 2입,"10,230원"
2,마켓컬리,사과 2.5kg (8~12입),"14,900원"
3,마켓컬리,[타미나] 청도 홍시 1.1kg 7~8입,"8,980원"
4,마켓컬리,GAP 유명산지 머스크 멜론 1.6kg 내외,"12,900원"
5,마켓컬리,국산 깐밤 150g,"7,950원"
6,마켓컬리,저탄소 GAP 천안 샤인머스켓 2kg,"46,000원"
7,마켓컬리,완숙 스테비아 달음마토 1kg,"11,800원"
8,마켓컬리,저탄소 GAP 우리집 샤인머스켓 1팩,"19,900원"
9,마켓컬리,신화배 2입,"13,764원"
10,마켓컬리,저탄소 GAP 당도선별 제수용 배 2입,"11,000원"
11,마켓컬리,GAP 보은생대추 300g,"7,800원"
12,마켓컬리,저탄소 GAP 스테비 홍로 사과 2.5kg,"22,900원"
13,마켓컬리,레드키위 4~5입,"3,992원"
14,마켓컬리,무농약 사과대추 500g,"10,900원"
15,마켓컬리,GAP 국산 푸룬(생과) 500g,"9,200원"
16,마켓컬리,[에이플] GAP 샤인머스캇 포도 1.5kg 1box,"45,000원"
17,마켓컬리,[타미나] 유명산지 단감 4개,"5,980원"
18,마켓컬리,칠레산 블루베리 2종,"6,570원"
19,마켓컬리,[올프레쉬] 머스크 멜론 1.7kg,"19,900원"
