 
쿠팡
과일
"고령 칸탈로프메론, 5kg(4~6과), 1개","44,900"
"델몬트 필리핀 미니 허니글로우 파인애플 10p, 11.5kg, 1개","29,900"
"충남세도 GAP 인증 대추방울토마토, 1kg, 1박스","9,900"
"제스프리 썬골드 키위, XL, 1.5kg(12개입), 1개","14,900"
"프레샤인 GAP 인증 당도선별 CA저장 충주 세척사과, 2kg, 1박스","16,500"
"곰곰 대추방울토마토, 750g, 1팩","4,480"
"당도선별 성주 벽진 미니참외, 2kg, 1봉","13,900"
"블랙사파이어포도, 1200g, 1팩","16,900"
"퓨어스펙 고당도 오렌지, 3kg(10~22입), 1봉","14,900"
"곰곰 당도선별 꼬마참외, 1.5kg, 1봉","13,600"
야채
"몸애조화 6년근 프리미엄 수삼 선물세트, 800g, 1세트","99,000"
"몸애조화 한국임업진흥원인증 산양삼 5년근 5뿌리 선물세트, 1세트","76,900"
"곰곰 채소믹스, 1kg, 1개","9,890"
"국내산 애호박, 1개입",990
"곰곰 국내산 햇감자, 1kg","4,000"
"farmjoa 뚝딱! 볶음밥용 채소 (냉동), 500g, 2개","11,600"
"국내산 햇양파, 1.5kg, 1개","3,290"
"풀무원 한끼 연두부 + 오리엔탈 유자 소스 6개입, 110g, 1세트","7,470"
"곰곰 레드 채소믹스, 300g, 1개","3,830"
"곰곰 국내산 백오이, 3개, 1봉","1,820"
