 
지마켓
과일
봉화미담 고당도 부사 사과 가정용 10kg 40 46과,"47,000"
청정 영주소백산사과 가정용꿀부사10kg중대과(32~36과),"46,380"
햇 아로니아생과 (꼭지제거)1kgx5 1kg씩 무농약 냉동,"40,850"
대저 짭짤이 토마토 2.5kg 중과 단짠 짭짜리 M,"29,900"
제스프리 골드키위 20입 대과(팩포장) / 개당110g 내외,"29,900"
성주참외 꿀참외 과일 채소 참외 제철 꼬마소과 2kg,"16,900"
산지직송 청송 사과 가정용흠과 9kg내외 /중대과,"37,900"
고당도 아삭아삭 청송사과 10kg가정용(30~38과) 기스과,"38,650"
달콤한 망성면 시골참외(크기혼합) 5kg 매일수확,"25,650"
달콤한 익산보석참외(크기혼합) 10kg 매일수확,"45,000"
야채
직접생산한 포슬포슬 햇 수미감자 대 3kg,"8,820"
직접생산한 포슬포슬 햇 수미감자 왕특 3kg,"9,900"
건강하고 달달한 무안 적양파 5kg,"17,800"
건강하고 달달한 무안 적양파 2.5kg,"8,900"
풍향 농협 고흥 마늘 반접 50개 특사이즈,"24,900"
제주비트분말 150g 첨가물ZERO 레드비트100%,"11,900"
풍향 농협 고흥 마늘 반접 50개 특사이즈,"24,900"
흙에서 키운 자색당근 3KG 세척한 햇 자색당근,"28,650"
국내산 햇 당근~  강원도 고랭지 몬난이 쥬스용 10kg,"7,510"
김경보님의 제주 레드비트 5kg,"12,840"
